btsppackage API Name,Platform Event API Name,btspdev Participation API Name
btsp1__X1_1_Core_Offered__c,X1_1_Core_Offered__c,X1_1_Core_Offered__c
btsp1__X1_1_Core_Attended__c,X1_1_Core_Attended__c,X1_1_Core_Attended__c
btsp1__X1_1_Optional_Offered__c,X1_1_Optional_Offered__c,X1_1_Optional_Offered__c
btsp1__X1_1_Optional_Attended__c,X1_1_Optional_Attended__c,X1_1_Optional_Attended__c
btsp1__Communication_Core_Offered__c,Communication_Core_Offered__c,Communication_Core_Offered__c
btsp1__Communication_Core_Attended__c,Communication_Core_Attended__c,Communication_Core_Attended__c
btsp1__Communication_Optional_Offered__c,Communication_Optional_Offered__c,Communication_Optional_Offered__c
btsp1__Communication_Optional_Attended__c,Communication_Optional_Attended__c,Communication_Optional_Attended__c
btsp1__Core_Programming_Days_Offered__c,Core_Programming_Days_Offered__c,Core_Programming_Days_Offered__c
btsp1__Core_Programming_Days_Attended__c,Core_Programming_Days_Attended__c,Core_Programming_Days_Attended__c
btsp1__Non_Core_Programming_Days_Offered__c,Non_Core_Programming_Days_Offered__c,Non_Core_Programming_Days_Offered__c
btsp1__Non_Core_Programming_Days_Attended__c,Non_Core_Programming_Days_Attended__c,Non_Core_Programming_Days_Attended__c
btsp1__Participant__c,Source_Contact_ID__c,Source_Contact_ID__c
N/A,Source_Org_ID__c,Source_Org_ID__c
btsp1__Term__c,Term__c,BTSP_Provided_Term__c
RecordId,Participation_ID__c,BTSP_Participation_ID__c
N/A,N/A,Invalid_Reason__c
N/A,N/A,Writeback_Status__c
